Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp
192.168.1.13-192.168.1.3-47722-8180-6,192.168.1.13,47722,192.168.1.3,8180,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-45586-5999-6,192.168.1.13,45586,192.168.1.3,5999,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-53956-4129-6,192.168.1.13,53956,192.168.1.3,4129,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-43962-1533-6,192.168.1.13,43962,192.168.1.3,1533,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-43484-125-6,192.168.1.13,43484,192.168.1.3,125,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-39784-2910-6,192.168.1.13,39784,192.168.1.3,2910,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-46964-9103-6,192.168.1.13,46964,192.168.1.3,9103,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-50374-3351-6,192.168.1.13,50374,192.168.1.3,3351,6,21/11/2024 03:42:14 PM
192.168.1.13-192.168.1.3-37966-2393-6,192.168.1.13,37966,192.168.1.3,2393,6,21/11/2024 03:42:16 PM
192.168.1.13-192.168.1.3-34768-1076-6,192.168.1.13,34768,192.168.1.3,1076,6,21/11/2024 03:42:13 PM
192.168.1.13-192.168.1.3-42954-1166-6,192.168.1.13,42954,192.168.1.3,1166,6,21/11/2024 03:42:15 PM
192.168.1.13-192.168.1.3-40072-3324-6,192.168.1.13,40072,192.168.1.3,3324,6,21/11/2024 03:42:14 PM
